02 Oct 2015 12:24:40 | ABUNDANT |    archive |    DEBUG | Loaded archive config
02 Oct 2015 12:24:40 | ABUNDANT |    version |    DEBUG | Version record found: 7ad758eb-0aca-4247-88f8-fefdcbfa01a0
02 Oct 2015 12:24:40 | ABUNDANT |    version |    DEBUG | Version record found: 52be935a-1aa9-4d61-89c3-2d3baa7c4598
02 Oct 2015 12:24:41 | ABUNDANT |    version |    DEBUG | Version record found: 9102c944-932f-4769-ace0-4130b3b3f6a3
02 Oct 2015 12:24:41 | ABUNDANT |    version |    DEBUG | Version record found: 859b1c2b-ace7-44b9-8c03-7a0c230ae00f
02 Oct 2015 12:24:41 | ABUNDANT |    archive |    DEBUG | Found 4 versions
02 Oct 2015 14:51:16 | ABUNDANT |        log |    DEBUG | - - - - - - - - - - - - - -
02 Oct 2015 14:51:16 | ABUNDANT |        log |    DEBUG | Logger is ready
02 Oct 2015 14:51:24 | ABUNDANT |        log |    DEBUG | - - - - - - - - - - - - - -
02 Oct 2015 14:51:24 | ABUNDANT |        log |    DEBUG | Logger is ready
02 Oct 2015 14:51:24 | ABUNDANT |     config |     INFO | Loaded initialisation config
02 Oct 2015 14:51:24 | ABUNDANT |     config |     INFO | Loaded master config
02 Oct 2015 14:51:24 | ABUNDANT |    archive |    DEBUG | Loaded archive config
02 Oct 2015 14:51:24 | ABUNDANT |    version |    DEBUG | Version record found: 7ad758eb-0aca-4247-88f8-fefdcbfa01a0
02 Oct 2015 14:51:24 | ABUNDANT |    version |    DEBUG | Version record found: 52be935a-1aa9-4d61-89c3-2d3baa7c4598
02 Oct 2015 14:51:24 | ABUNDANT |    version |    DEBUG | Version record found: 9102c944-932f-4769-ace0-4130b3b3f6a3
02 Oct 2015 14:51:24 | ABUNDANT |    version |    DEBUG | Version record found: 859b1c2b-ace7-44b9-8c03-7a0c230ae00f
02 Oct 2015 14:51:24 | ABUNDANT |    archive |    DEBUG | Found 4 versions
02 Oct 2015 14:52:33 | ABUNDANT |        log |    DEBUG | - - - - - - - - - - - - - -
02 Oct 2015 14:52:33 | ABUNDANT |        log |    DEBUG | Logger is ready
02 Oct 2015 14:52:33 | ABUNDANT |     config |     INFO | Loaded initialisation config
02 Oct 2015 14:52:33 | ABUNDANT |     config |     INFO | Loaded master config
02 Oct 2015 14:52:33 | ABUNDANT |    archive |    DEBUG | Loaded archive config
02 Oct 2015 14:52:33 | ABUNDANT |    version |    DEBUG | Version record found: 7ad758eb-0aca-4247-88f8-fefdcbfa01a0
02 Oct 2015 14:52:33 | ABUNDANT |    version |    DEBUG | Version record found: 52be935a-1aa9-4d61-89c3-2d3baa7c4598
02 Oct 2015 14:52:33 | ABUNDANT |    version |    DEBUG | Version record found: 9102c944-932f-4769-ace0-4130b3b3f6a3
02 Oct 2015 14:52:33 | ABUNDANT |    version |    DEBUG | Version record found: 859b1c2b-ace7-44b9-8c03-7a0c230ae00f
02 Oct 2015 14:52:33 | ABUNDANT |    archive |    DEBUG | Found 4 versions
02 Oct 2015 14:54:01 | ABUNDANT |        log |    DEBUG | - - - - - - - - - - - - - -
02 Oct 2015 14:54:01 | ABUNDANT |        log |    DEBUG | Logger is ready
02 Oct 2015 14:54:01 | ABUNDANT |     config |     INFO | Loaded initialisation config
02 Oct 2015 14:54:01 | ABUNDANT |     config |     INFO | Loaded master config
02 Oct 2015 14:54:10 | ABUNDANT |    archive |    DEBUG | Loaded archive config
02 Oct 2015 14:54:10 | ABUNDANT |    version |    DEBUG | Version record found: 7ad758eb-0aca-4247-88f8-fefdcbfa01a0
02 Oct 2015 14:54:10 | ABUNDANT |    version |    DEBUG | Version record found: 52be935a-1aa9-4d61-89c3-2d3baa7c4598
02 Oct 2015 14:54:10 | ABUNDANT |    version |    DEBUG | Version record found: 9102c944-932f-4769-ace0-4130b3b3f6a3
02 Oct 2015 14:54:10 | ABUNDANT |    version |    DEBUG | Version record found: 859b1c2b-ace7-44b9-8c03-7a0c230ae00f
02 Oct 2015 14:54:10 | ABUNDANT |    archive |    DEBUG | Found 4 versions
02 Oct 2015 15:01:38 | ABUNDANT |    archive |    DEBUG | Loaded archive config
02 Oct 2015 15:01:38 | ABUNDANT |    version |    DEBUG | Version record found: 7ad758eb-0aca-4247-88f8-fefdcbfa01a0
02 Oct 2015 15:01:38 | ABUNDANT |    version |    DEBUG | Version record found: 52be935a-1aa9-4d61-89c3-2d3baa7c4598
02 Oct 2015 15:01:38 | ABUNDANT |    version |    DEBUG | Version record found: 9102c944-932f-4769-ace0-4130b3b3f6a3
02 Oct 2015 15:01:38 | ABUNDANT |    version |    DEBUG | Version record found: 859b1c2b-ace7-44b9-8c03-7a0c230ae00f
02 Oct 2015 15:01:38 | ABUNDANT |    archive |    DEBUG | Found 4 versions
02 Oct 2015 16:13:13 | ABUNDANT |        log |    DEBUG | - - - - - - - - - - - - - -
02 Oct 2015 16:13:13 | ABUNDANT |        log |    DEBUG | Logger is ready
02 Oct 2015 16:13:13 | ABUNDANT |     config |     INFO | Loaded initialisation config
02 Oct 2015 16:13:13 | ABUNDANT |     config |     INFO | Loaded master config
02 Oct 2015 16:13:17 | ABUNDANT |    archive |    DEBUG | Loaded archive config
02 Oct 2015 16:13:17 | ABUNDANT |    version |    DEBUG | Version record found: 7ad758eb-0aca-4247-88f8-fefdcbfa01a0
02 Oct 2015 16:13:17 | ABUNDANT |    version |    DEBUG | Version record found: 52be935a-1aa9-4d61-89c3-2d3baa7c4598
02 Oct 2015 16:13:17 | ABUNDANT |    version |    DEBUG | Version record found: 9102c944-932f-4769-ace0-4130b3b3f6a3
